date,price-Tallinn-Tallinn,Advertisements-Tallinn-Tallinn,Actives-Tallinn-Tallinn,price-Tallinn-Haabersti,Advertisements-Tallinn-Haabersti,Actives-Tallinn-Haabersti,price-Tallinn-Kesklinn,Advertisements-Tallinn-Kesklinn,Actives-Tallinn-Kesklinn,price-Tallinn-Kristiine,Advertisements-Tallinn-Kristiine,Actives-Tallinn-Kristiine,price-Tallinn-Lasnamäe,Advertisements-Tallinn-Lasnamäe,Actives-Tallinn-Lasnamäe,price-Tallinn-Mustamäe,Advertisements-Tallinn-Mustamäe,Actives-Tallinn-Mustamäe,price-Tallinn-Nõmme,Advertisements-Tallinn-Nõmme,Actives-Tallinn-Nõmme,price-Tallinn-Pirita,Advertisements-Tallinn-Pirita,Actives-Tallinn-Pirita,price-Tallinn-Põhja-Tallinn,Advertisements-Tallinn-Põhja-Tallinn,Actives-Tallinn-Põhja-Tallinn,price-Tallinn-Vanalinn,Advertisements-Tallinn-Vanalinn,Actives-Tallinn-Vanalinn,price-Tallinn-Kadriorg,Advertisements-Tallinn-Kadriorg,Actives-Tallinn-Kadriorg,price-Tartu-Tartu,Advertisements-Tartu-Tartu,Actives-Tartu-Tartu,price-Tartu-Haage,Advertisements-Tartu-Haage,Actives-Tartu-Haage,price-Tartu-Ilmatsalu küla,Advertisements-Tartu-Ilmatsalu küla,Actives-Tartu-Ilmatsalu küla,price-Tartu-Ilmatsalu alevik,Advertisements-Tartu-Ilmatsalu alevik,Actives-Tartu-Ilmatsalu alevik,price-Tartu-Kandiküla,Advertisements-Tartu-Kandiküla,Actives-Tartu-Kandiküla,price-Tartu-Kardla,Advertisements-Tartu-Kardla,Actives-Tartu-Kardla,price-Tartu-Märja,Advertisements-Tartu-Märja,Actives-Tartu-Märja,price-Tartu-Pihva,Advertisements-Tartu-Pihva,Actives-Tartu-Pihva,price-Tartu-Rahinge,Advertisements-Tartu-Rahinge,Actives-Tartu-Rahinge,price-Tartu-Rõhu,Advertisements-Tartu-Rõhu,Actives-Tartu-Rõhu,price-Tartu-Tartu linn,Advertisements-Tartu-Tartu linn,Actives-Tartu-Tartu linn,price-Tartu-Tähtvere,Advertisements-Tartu-Tähtvere,Actives-Tartu-Tähtvere,price-Tartu-Tüki,Advertisements-Tartu-Tüki,Actives-Tartu-Tüki,price-Tartu-Vorbuse,Advertisements-Tartu-Vorbuse,Actives-Tartu-Vorbuse,price-Tartu-Maarjamõisa,Advertisements-Tartu-Maarjamõisa,Actives-Tartu-Maarjamõisa,price-Tartu-Raadi-Kruusamäe,Advertisements-Tartu-Raadi-Kruusamäe,Actives-Tartu-Raadi-Kruusamäe,price-Tartu-Karlova,Advertisements-Tartu-Karlova,Actives-Tartu-Karlova,price-Tartu-Kesklinn,Advertisements-Tartu-Kesklinn,Actives-Tartu-Kesklinn,price-Tartu-Ihaste,Advertisements-Tartu-Ihaste,Actives-Tartu-Ihaste,price-Tartu-Jaamamõisa,Advertisements-Tartu-Jaamamõisa,Actives-Tartu-Jaamamõisa,price-Tartu-Annelinn,Advertisements-Tartu-Annelinn,Actives-Tartu-Annelinn,price-Tartu-Veeriku,Advertisements-Tartu-Veeriku,Actives-Tartu-Veeriku,price-Tartu-Ülejõe,Advertisements-Tartu-Ülejõe,Actives-Tartu-Ülejõe,price-Tartu-Vaksali,Advertisements-Tartu-Vaksali,Actives-Tartu-Vaksali,price-Tartu-Variku,Advertisements-Tartu-Variku,Actives-Tartu-Variku,price-Tartu-Tammelinn,Advertisements-Tartu-Tammelinn,Actives-Tartu-Tammelinn,price-Tartu-Ränilinn,Advertisements-Tartu-Ränilinn,Actives-Tartu-Ränilinn,price-Tartu-Supilinn,Advertisements-Tartu-Supilinn,Actives-Tartu-Supilinn,price-Tartu-Ropka,Advertisements-Tartu-Ropka,Actives-Tartu-Ropka,price-Tartu-Ropka tööstusrajoon,Advertisements-Tartu-Ropka tööstusrajoon,Actives-Tartu-Ropka tööstusrajoon
05.2007,1993.2,7252,5603,1815.0,644,511,2513.0,1716,1408,1897.0,454,371,1719.0,1794,1314,1651.0,785,592,1870.0,265,232,2256.0,227,186,1798.0,971,811,4232.0,67,56,-,-,-,1353.0,2571,2008,969.0,7,6,-,-,-,-,-,-,-,-,-,-,-,-,1077.0,10,9,-,-,-,-,-,-,-,-,-,-,-,-,1343.0,60,50,-,-,-,-,-,-,-,-,-,1261.0,104,81,1403.0,369,313,1718.0,379,297,1429.0,14,13,1168.0,85,67,1161.0,638,484,1306.0,113,85,1444.0,221,182,1412.0,59,54,1260.0,10,8,1443.0,22,17,1102.0,13,9,1270.0,48,42,1224.0,166,135,-,-,-
06.2007,1948.8,7405,6011,1786.0,649,540,2489.0,1723,1478,1926.0,481,384,1600.0,1862,1501,1640.0,785,625,1882.0,301,251,2268.0,220,195,1795.0,996,854,4205.0,60,60,-,-,-,1355.2,2588,2136,1014.0,7,6,-,-,-,-,-,-,-,-,-,-,-,-,1047.0,10,8,-,-,-,1095.0,6,5,-,-,-,-,-,-,1360.0,61,47,-,-,-,-,-,-,-,-,-,1374.0,122,98,1408.0,357,331,1701.0,351,301,1368.0,37,24,1153.0,80,70,1164.0,596,518,1313.0,114,95,1445.0,224,193,1393.0,63,58,1275.0,9,8,1352.0,17,16,1147.0,15,10,1371.0,49,45,1222.0,190,137,-,-,-
07.2007,1935.0,7644,6379,1824.0,653,525,2485.0,1771,1521,1910.0,513,419,1564.0,1980,1689,1632.0,790,661,1854.0,306,276,2271.0,218,200,1767.0,1055,897,4106.0,72,65,-,-,-,1354.0,2730,2221,1020.0,6,5,-,-,-,-,-,-,-,-,-,-,-,-,1031.0,12,10,-,-,-,1095.0,-,-,-,-,-,-,-,-,1320.0,59,46,-,-,-,-,-,-,-,-,-,1361.0,141,116,1394.0,355,326,1729.0,367,311,1334.0,35,33,1164.0,87,73,1162.0,651,549,1308.0,128,89,1447.0,243,210,1328.0,62,59,1287.0,8,7,1277.0,23,13,1137.0,19,15,1419.0,46,43,1206.0,196,151,-,-,-
08.2007,1922.1,7945,6397,1787.0,654,538,2489.0,1811,1521,1924.0,509,413,1549.0,2023,1618,1628.0,921,700,1838.0,332,272,2268.0,211,199,1762.0,1122,944,4084.0,76,68,-,-,-,1366.7,2860,2296,991.0,7,5,-,-,-,-,-,-,-,-,-,-,-,-,1072.0,12,13,-,-,-,1856.0,6,5,-,-,-,-,-,-,1377.0,52,45,-,-,-,-,-,-,-,-,-,1362.0,152,126,1386.0,386,323,1776.0,373,314,1320.0,31,33,1189.0,111,90,1191.0,653,562,1302.0,113,87,1463.0,276,228,1341.0,73,61,1260.0,9,7,1382.0,14,12,1142.0,22,18,1415.0,47,45,1195.0,181,147,-,-,-
09.2007,1912.4,8476,6900,1824.0,758,607,2487.0,1885,1550,1914.0,559,468,1538.0,2076,1773,1620.0,1046,794,1890.0,323,276,2264.0,217,205,1733.0,1252,1036,4056.0,76,65,-,-,-,1371.2,2780,2197,991.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1100.0,11,10,-,-,-,1035.0,7,6,-,-,-,-,-,-,1381.0,54,45,-,-,-,-,-,-,-,-,-,1351.0,148,122,1423.0,359,316,1801.0,377,310,1308.0,31,23,1187.0,103,93,1194.0,665,526,1302.0,106,76,1422.0,267,220,1368.0,68,55,1198.0,10,7,1351.0,10,11,1147.0,17,14,1343.0,50,44,1177.0,168,140,-,-,-
10.2007,1888.7,8751,7188,1787.0,829,682,2457.0,1931,1631,1896.0,580,473,1520.0,2088,1803,1608.0,1140,878,1861.0,334,285,2274.0,223,207,1700.0,1256,1022,3991.0,81,73,-,-,-,1367.8,2702,2124,991.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1035.0,9,8,-,-,-,1009.0,7,6,-,-,-,-,-,-,1553.0,56,47,-,-,-,-,-,-,-,-,-,1364.0,150,127,1411.0,369,317,1825.0,371,312,1327.0,22,20,1187.0,105,87,1147.0,625,502,1309.0,99,69,1446.0,269,214,1346.0,51,51,1139.0,16,8,1404.0,11,10,1178.0,16,12,1503.0,46,39,1146.0,174,127,-,-,-
11.2007,1869.3,8478,7169,1762.0,780,667,2432.0,1927,1649,1851.0,562,489,1496.0,2018,1791,1587.0,1094,883,1821.0,316,273,2257.0,240,213,1664.0,1169,981,3965.0,87,82,-,-,-,1365.1,2618,1990,991.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,989.0,10,9,-,-,-,988.0,10,6,-,-,-,-,-,-,1514.0,61,46,-,-,-,-,-,-,-,-,-,1357.0,162,132,1381.0,381,293,1802.0,360,287,1306.0,25,22,1181.0,112,89,1145.0,592,457,1304.0,95,71,1497.0,246,204,1362.0,47,50,1175.0,7,5,1319.0,10,7,1187.0,11,8,1363.0,41,37,1164.0,155,111,-,-,-
12.2007,1852.0,7776,6813,1724.0,718,642,2411.0,1645,1562,1837.0,540,489,1481.0,1880,1717,1600.0,996,840,1796.0,289,262,2270.0,177,168,1647.0,1059,945,3879.0,78,70,-,-,-,1367.0,2261,1840,991.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,989.0,10,9,-,-,-,984.0,7,7,-,-,-,-,-,-,1489.0,53,46,-,-,-,-,-,-,-,-,-,1377.0,151,111,1368.0,303,284,1820.0,315,255,1309.0,24,22,1180.0,98,87,1144.0,503,424,1306.0,91,73,1467.0,232,198,1361.0,44,43,1175.0,-,-,1152.0,10,6,1224.0,9,6,1377.0,42,41,1155.0,114,96,-,-,-
01.2008,1816.7,8331,6735,1695.0,757,625,2360.0,1737,1584,1824.0,568,465,1452.0,2013,1686,1584.0,1081,838,1765.0,314,251,2169.0,216,175,1604.0,1143,928,3867.0,84,76,-,-,-,1341.5,2537,1896,993.0,6,4,1016.0,6,4,-,-,-,-,-,-,-,-,-,993.0,10,9,-,-,-,982.0,9,7,-,-,-,-,-,-,1477.0,61,50,-,-,-,-,-,-,-,-,-,1313.0,168,125,1374.0,360,279,1730.0,350,284,1328.0,26,23,1170.0,109,88,1137.0,535,416,1259.0,102,69,1406.0,241,197,1392.0,48,43,1270.0,6,5,1164.0,12,7,1214.0,10,7,1359.0,62,40,1174.0,138,98,-,-,-
02.2008,1791.3,8768,7203,1638.0,774,624,2334.0,1805,1735,1807.0,611,503,1449.0,2204,1894,1537.0,1092,835,1752.0,315,260,2199.0,234,205,1574.0,1182,953,3902.0,82,77,-,-,-,1320.1,2451,1971,887.0,10,6,1012.0,6,6,-,-,-,-,-,-,-,-,-,983.0,11,11,-,-,-,953.0,8,8,-,-,-,-,-,-,1340.0,57,47,-,-,-,-,-,-,-,-,-,1352.0,156,130,1359.0,354,295,1707.0,334,287,1275.0,23,24,1195.0,120,104,1118.0,505,407,1248.0,101,72,1319.0,248,204,1350.0,47,46,1199.0,7,5,1322.0,13,12,1178.0,10,9,1338.0,52,47,1170.0,126,104,-,-,-
