"Ajavahemik","Väärtus"
"veebruar 2018",0.9
"märts 2018",0.9
"aprill 2018",1.3
"mai 2018",1.6
"juuni 2018",2.6
"juuli 2018",2.7
"august 2018",3.2
"september 2018",3.2
"oktoober 2018",3.7
"november 2018",3.2
"detsember 2018",3
"jaanuar 2019",2.7
"veebruar 2019",2.9
"märts 2019",3.2
"aprill 2019",4.6
"mai 2019",4.8
"juuni 2019",5
"juuli 2019",4.9
"august 2019",5.6
"september 2019",5.5
"oktoober 2019",5.4
"november 2019",5.1
"detsember 2019",4.8
"jaanuar 2020",4.4
"veebruar 2020",4.9
"märts 2020",4.2
"aprill 2020",3.7
"mai 2020",3
"juuni 2020",4
"juuli 2020",4
"august 2020",4.6
"september 2020",4.3
"oktoober 2020",3.8
"november 2020",3.9
"detsember 2020",3.9
"jaanuar 2021",4.6
"veebruar 2021",5.5
"märts 2021",5.3
"aprill 2021",5.7
"mai 2021",6.7
"juuni 2021",8
"juuli 2021",9.1
"august 2021",9.9
"september 2021",11.3
"oktoober 2021",11.1
"november 2021",13.1
"detsember 2021",16.6
"jaanuar 2022",16.5
"veebruar 2022",18.2
"märts 2022",21.3
"aprill 2022",25.6
"mai 2022",28.1
"juuni 2022",31.5
"juuli 2022",34.1
"august 2022",37.2
"september 2022",37.6
"oktoober 2022",36.1
"november 2022",37.3
"detsember 2022",37.1
"jaanuar 2023",38.1
"veebruar 2023",38.9
"märts 2023",39.8
"aprill 2023",42.6
"mai 2023",42.6
"juuni 2023",43.6
"juuli 2023",42.7
"august 2023",43.5
"september 2023",43.4
"oktoober 2023",42.8
