"PA004: KESKMINE BRUTOPALK, TÖÖJÕUKULU JA TÖÖTATUD TUNNID | Maakond, Vaatlusperiood ning Näitaja"

"Maakond","Vaatlusperiood","Keskmine brutokuupalk, eurot","Keskmise brutokuupalga muutus võrreldes eelmise perioodiga, %"
"Tallinn","2018 I kvartal",1406,..
"Tallinn","2018 II kvartal",1492,6.1
"Tallinn","2018 III kvartal",1453,-2.6
"Tallinn","2018 IV kvartal",1562,7.5
"Tallinn","2019 I kvartal",1482,-5.1
"Tallinn","2019 II kvartal",1554,4.9
"Tallinn","2019 III kvartal",1532,-1.4
"Tallinn","2019 IV kvartal",1611,5.1
"Tallinn","2020 I kvartal",1592,-1.2
"Tallinn","2020 II kvartal",1623,2.0
"Tallinn","2020 III kvartal",1628,0.3
"Tallinn","2020 IV kvartal",1706,4.8
"Tallinn","2021 I kvartal",1669,-2.2
"Tallinn","2021 II kvartal",1730,3.7
"Tallinn","2021 III kvartal",1746,0.9
"Tallinn","2021 IV kvartal",1831,4.9
"Tallinn","2022 I kvartal",1781,-2.7
"Tallinn","2022 II kvartal",1877,5.4
"Tallinn","2022 III kvartal",1870,-0.4
"Tallinn","2022 IV kvartal",1994,6.6
"Tartu maakond","2018 I kvartal",1209,..
"Tartu maakond","2018 II kvartal",1302,7.7
"Tartu maakond","2018 III kvartal",1272,-2.3
"Tartu maakond","2018 IV kvartal",1375,8.2
"Tartu maakond","2019 I kvartal",1325,-3.7
"Tartu maakond","2019 II kvartal",1440,8.7
"Tartu maakond","2019 III kvartal",1408,-2.3
"Tartu maakond","2019 IV kvartal",1533,8.8
"Tartu maakond","2020 I kvartal",1380,-10.0
"Tartu maakond","2020 II kvartal",1451,5.1
"Tartu maakond","2020 III kvartal",1419,-2.2
"Tartu maakond","2020 IV kvartal",1542,8.6
"Tartu maakond","2021 I kvartal",1438,-6.7
"Tartu maakond","2021 II kvartal",1575,9.5
"Tartu maakond","2021 III kvartal",1531,-2.8
"Tartu maakond","2021 IV kvartal",1652,7.9
"Tartu maakond","2022 I kvartal",1583,-4.1
"Tartu maakond","2022 II kvartal",1753,10.7
"Tartu maakond","2022 III kvartal",1651,-5.8
"Tartu maakond","2022 IV kvartal",1770,7.2
