date,city,district,price,advertisements,actives
01-2007,Tallinn,Tallinn,1882.7,5330,3721
02-2007,Tallinn,Tallinn,1921.6,5662,4280
03-2007,Tallinn,Tallinn,1941.2,6457,4688
04-2007,Tallinn,Tallinn,1994.6,6769,5182
05-2007,Tallinn,Tallinn,1993.2,7252,5603
06-2007,Tallinn,Tallinn,1948.8,7405,6011
07-2007,Tallinn,Tallinn,1935.0,7644,6379
08-2007,Tallinn,Tallinn,1922.1,7945,6397
09-2007,Tallinn,Tallinn,1912.4,8476,6900
10-2007,Tallinn,Tallinn,1888.7,8751,7188
11-2007,Tallinn,Tallinn,1869.3,8478,7169
12-2007,Tallinn,Tallinn,1852.0,7776,6813
01-2008,Tallinn,Tallinn,1816.7,8331,6735
02-2008,Tallinn,Tallinn,1791.3,8768,7203
03-2008,Tallinn,Tallinn,1775.6,9296,7448
04-2008,Tallinn,Tallinn,1754.3,10105,7977
05-2008,Tallinn,Tallinn,1740.9,10481,8365
06-2008,Tallinn,Tallinn,1713.4,9852,8508
07-2008,Tallinn,Tallinn,1707.4,9938,8410
08-2008,Tallinn,Tallinn,1690.3,9956,8410
09-2008,Tallinn,Tallinn,1677.1,10184,8409
10-2008,Tallinn,Tallinn,1659.2,10388,8473
11-2008,Tallinn,Tallinn,1612.5,9741,8226
12-2008,Tallinn,Tallinn,1584.2,8983,8049
01-2009,Tallinn,Tallinn,1534.8,9242,7776
02-2009,Tallinn,Tallinn,1485.5,9129,7840
03-2009,Tallinn,Tallinn,1427.2,9168,7657
04-2009,Tallinn,Tallinn,1371.7,8935,7440
05-2009,Tallinn,Tallinn,1327.8,8550,7104
06-2009,Tallinn,Tallinn,1299.9,8171,6908
07-2009,Tallinn,Tallinn,1265.0,7868,6640
08-2009,Tallinn,Tallinn,1246.2,7581,6345
09-2009,Tallinn,Tallinn,1228.8,7742,6096
10-2009,Tallinn,Tallinn,1218.6,7383,5857
11-2009,Tallinn,Tallinn,1212.4,7388,5687
12-2009,Tallinn,Tallinn,1224.7,6806,5602
01-2010,Tallinn,Tallinn,1217.2,7020,5526
02-2010,Tallinn,Tallinn,1224.7,7000,5475
03-2010,Tallinn,Tallinn,1219.9,7533,5358
04-2010,Tallinn,Tallinn,1219.1,7262,5393
05-2010,Tallinn,Tallinn,1213.6,7480,5482
06-2010,Tallinn,Tallinn,1214.7,7484,5625
07-2010,Tallinn,Tallinn,1209.4,7520,5657
08-2010,Tallinn,Tallinn,1227.8,7943,5799
09-2010,Tallinn,Tallinn,1212.0,11013,5937
10-2010,Tallinn,Tallinn,1205.4,10426,6074
11-2010,Tallinn,Tallinn,1210.4,10287,6179
12-2010,Tallinn,Tallinn,1225.0,8760,6055
01-2011,Tallinn,Tallinn,1265.6,7073,5745
02-2011,Tallinn,Tallinn,1280.7,5524,5912
03-2011,Tallinn,Tallinn,1246.0,9136,6084
04-2011,Tallinn,Tallinn,1257.7,8690,6243
05-2011,Tallinn,Tallinn,1253.7,8826,6450
06-2011,Tallinn,Tallinn,1256.3,8426,6485
07-2011,Tallinn,Tallinn,1254.9,8894,6469
08-2011,Tallinn,Tallinn,1262.6,9131,6381
09-2011,Tallinn,Tallinn,1258.4,8803,6354
10-2011,Tallinn,Tallinn,1258.7,9398,6515
11-2011,Tallinn,Tallinn,1266.9,9436,6495
12-2011,Tallinn,Tallinn,1282.8,8876,6275
01-2012,Tallinn,Tallinn,1291.7,9105,6115
02-2012,Tallinn,Tallinn,1298.5,9423,6142
03-2012,Tallinn,Tallinn,1300.0,8799,6040
04-2012,Tallinn,Tallinn,1296.1,8512,5957
05-2012,Tallinn,Tallinn,1317.0,8731,5825
06-2012,Tallinn,Tallinn,1321.6,8182,5705
07-2012,Tallinn,Tallinn,1321.2,7816,5553
08-2012,Tallinn,Tallinn,1331.5,7829,5449
09-2012,Tallinn,Tallinn,1342.8,8754,5303
10-2012,Tallinn,Tallinn,1352.9,7992,5204
11-2012,Tallinn,Tallinn,1394.4,7184,4827
12-2012,Tallinn,Tallinn,1418.0,6574,4642
01-2013,Tallinn,Tallinn,1424.1,7270,4423
02-2013,Tallinn,Tallinn,1433.1,6596,4325
03-2013,Tallinn,Tallinn,1456.4,6491,4231
04-2013,Tallinn,Tallinn,1482.1,6774,4160
05-2013,Tallinn,Tallinn,1499.2,6786,4154
06-2013,Tallinn,Tallinn,1513.9,6509,4170
07-2013,Tallinn,Tallinn,1524.3,6259,4253
08-2013,Tallinn,Tallinn,1532.5,6146,4185
09-2013,Tallinn,Tallinn,1553.5,6117,4120
10-2013,Tallinn,Tallinn,1572.1,6401,4041
11-2013,Tallinn,Tallinn,1614.7,6082,3934
12-2013,Tallinn,Tallinn,1670.3,5590,3819
01-2014,Tallinn,Tallinn,1698.1,6368,3790
02-2014,Tallinn,Tallinn,1732.0,6033,3813
03-2014,Tallinn,Tallinn,1733.4,6665,4061
04-2014,Tallinn,Tallinn,1723.8,7022,4544
05-2014,Tallinn,Tallinn,1721.5,7834,4929
06-2014,Tallinn,Tallinn,1737.1,8115,5259
07-2014,Tallinn,Tallinn,1731.4,8067,5507
08-2014,Tallinn,Tallinn,1733.9,8234,5617
09-2014,Tallinn,Tallinn,1714.6,8817,5699
10-2014,Tallinn,Tallinn,1733.6,8931,5842
11-2014,Tallinn,Tallinn,1753.7,8493,5763
12-2014,Tallinn,Tallinn,1786.2,7951,5513
01-2015,Tallinn,Tallinn,1774.0,8348,5311
02-2015,Tallinn,Tallinn,1800.4,8030,5262
03-2015,Tallinn,Tallinn,1795.8,8493,5256
04-2015,Tallinn,Tallinn,1798.4,8380,5367
05-2015,Tallinn,Tallinn,1809.0,9140,5416
06-2015,Tallinn,Tallinn,1820.1,8412,5549
07-2015,Tallinn,Tallinn,1845.6,8143,5483
08-2015,Tallinn,Tallinn,1860.5,8045,5419
09-2015,Tallinn,Tallinn,1844.4,8509,5520
10-2015,Tallinn,Tallinn,1827.2,8939,5613
11-2015,Tallinn,Tallinn,1831.4,8962,5747
12-2015,Tallinn,Tallinn,1865.2,8196,5588
01-2016,Tallinn,Tallinn,1874.9,8538,5514
02-2016,Tallinn,Tallinn,1886.9,8509,5726
03-2016,Tallinn,Tallinn,1909.6,8893,5766
04-2016,Tallinn,Tallinn,1898.5,8503,5912
05-2016,Tallinn,Tallinn,1896.3,8485,5807
06-2016,Tallinn,Tallinn,1910.6,8053,5745
07-2016,Tallinn,Tallinn,1918.7,7759,5784
08-2016,Tallinn,Tallinn,1915.3,8390,5765
