"Ajavahemik","Väärtus"
"veebruar 2016",0.7
"märts 2016",1.5
"aprill 2016",1.5
"mai 2016",1.5
"juuni 2016",1.9
"juuli 2016",1.9
"august 2016",1.9
"september 2016",2.1
"oktoober 2016",1.8
"november 2016",1.9
"detsember 2016",2.3
"jaanuar 2017",2.7
"veebruar 2017",4.1
"märts 2017",4.4
"aprill 2017",4.7
"mai 2017",4.9
"juuni 2017",4.8
"juuli 2017",5.5
"august 2017",5.9
"september 2017",5.9
"oktoober 2017",5.6
"november 2017",6.2
"detsember 2017",5.8
"jaanuar 2018",6.3
"veebruar 2018",7.3
"märts 2018",7.3
"aprill 2018",7.7
"mai 2018",8.1
"juuni 2018",9
"juuli 2018",9.2
"august 2018",9.7
"september 2018",9.7
"oktoober 2018",10.3
"november 2018",9.7
"detsember 2018",9.5
"jaanuar 2019",9.2
"veebruar 2019",9.4
"märts 2019",9.7
"aprill 2019",11.2
"mai 2019",11.4
"juuni 2019",11.6
"juuli 2019",11.5
"august 2019",12.3
"september 2019",12.1
"oktoober 2019",12
"november 2019",11.7
"detsember 2019",11.4
"jaanuar 2020",11
"veebruar 2020",11.5
"märts 2020",10.7
"aprill 2020",10.3
"mai 2020",9.5
"juuni 2020",10.5
"juuli 2020",10.5
"august 2020",11.2
"september 2020",10.9
"oktoober 2020",10.4
"november 2020",10.5
"detsember 2020",10.5
"jaanuar 2021",11.2
"veebruar 2021",12.2
"märts 2021",11.9
"aprill 2021",12.4
"mai 2021",13.4
"juuni 2021",14.8
"juuli 2021",16
"august 2021",16.9
"september 2021",18.3
"oktoober 2021",18.1
"november 2021",20.3
"detsember 2021",23.9
"jaanuar 2022",23.8
"veebruar 2022",25.6
"märts 2022",29
"aprill 2022",33.6
"mai 2022",36.1
"juuni 2022",39.8
"juuli 2022",42.5
"august 2022",45.8
"september 2022",46.3
"oktoober 2022",44.7
"november 2022",45.9
"detsember 2022",45.7
"jaanuar 2023",46.8
"veebruar 2023",47.7
"märts 2023",48.7
"aprill 2023",51.6
"mai 2023",51.5
"juuni 2023",52.7
"juuli 2023",51.7
"august 2023",52.5
"september 2023",52.4
"oktoober 2023",51.8
"november 2023",51.8
