"Ajavahemik","Väärtus"
"veebruar 2017",1.3
"märts 2017",1.6
"aprill 2017",1.9
"mai 2017",2.1
"juuni 2017",2
"juuli 2017",2.7
"august 2017",3.1
"september 2017",3
"oktoober 2017",2.8
"november 2017",3.3
"detsember 2017",3
"jaanuar 2018",3.5
"veebruar 2018",4.4
"märts 2018",4.4
"aprill 2018",4.8
"mai 2018",5.2
"juuni 2018",6.1
"juuli 2018",6.3
"august 2018",6.8
"september 2018",6.8
"oktoober 2018",7.3
"november 2018",6.8
"detsember 2018",6.5
"jaanuar 2019",6.3
"veebruar 2019",6.5
"märts 2019",6.8
"aprill 2019",8.2
"mai 2019",8.5
"juuni 2019",8.6
"juuli 2019",8.5
"august 2019",9.3
"september 2019",9.1
"oktoober 2019",9
"november 2019",8.8
"detsember 2019",8.4
"jaanuar 2020",8
"veebruar 2020",8.5
"märts 2020",7.8
"aprill 2020",7.3
"mai 2020",6.6
"juuni 2020",7.6
"juuli 2020",7.6
"august 2020",8.3
"september 2020",8
"oktoober 2020",7.4
"november 2020",7.5
"detsember 2020",7.6
"jaanuar 2021",8.2
"veebruar 2021",9.2
"märts 2021",8.9
"aprill 2021",9.4
"mai 2021",10.4
"juuni 2021",11.7
"juuli 2021",12.9
"august 2021",13.7
"september 2021",15.1
"oktoober 2021",15
"november 2021",17
"detsember 2021",20.6
"jaanuar 2022",20.5
"veebruar 2022",22.3
"märts 2022",25.5
"aprill 2022",30
"mai 2022",32.5
"juuni 2022",36.1
"juuli 2022",38.7
"august 2022",41.9
"september 2022",42.4
"oktoober 2022",40.8
"november 2022",42
"detsember 2022",41.9
"jaanuar 2023",42.9
"veebruar 2023",43.7
"märts 2023",44.7
"aprill 2023",47.5
"mai 2023",47.5
"juuni 2023",48.6
"juuli 2023",47.6
"august 2023",48.5
"september 2023",48.4
"oktoober 2023",47.7
"november 2023",47.7
